agent,group,model,fit_AS,Unnamed: 0,id,fit_DB,fit_VS,fit_SG,r2,lambda,beta,tau,par
2,1,VS,396.4660732307615,25680,6,392.79194316664393,429.780661223932,395.3732385435702,0.326980291179472,1.1649599180575911,0.2724657644336157,0.06360968555999535,0.116
2,1,SG,396.4660732307615,25680,6,392.79194316664393,429.780661223932,395.3732385435702,0.3318342083506111,0.8955664018325088,0.36783933529348833,0.04480991023447163,18.999999999999996
1,1,AS,384.69480610508015,27120,7,396.2188548260133,387.10367659048114,384.9828233192996,0.1906204775670125,1.0058148662483641,0.33802667107577733,0.05406409296397706,
1,1,DB,384.69480610508015,27120,7,396.2188548260133,387.10367659048114,384.9828233192996,0.1996430360619203,1.2072850153902985,0.2879812732583042,0.06269118974404517,0.21428570000000002
1,1,VS,384.69480610508015,27120,7,396.2188548260133,387.10367659048114,384.9828233192996,0.18786130636364734,1.2948399468738852,0.2475255553339188,0.06645822419952573,0.116
1,1,SG,384.69480610508015,27120,7,396.2188548260133,387.10367659048114,384.9828233192996,0.18781893063008834,1.124325730441475,0.3077859653877664,0.060405062938343995,18.999999999999996
4,2,AS,360.800725721654,4320,8,361.7347376716396,396.396680507481,371.15784480017305,0.2928597580448994,0.527957514228315,0.45989910237260107,0.015990678810186502,
4,2,DB,360.800725721654,4320,8,361.7347376716396,396.396680507481,371.15784480017305,0.2692067136418081,0.2950556046317798,0.5262949228166315,0.0005664242177107298,0.21428570000000002
4,2,VS,360.800725721654,4320,8,361.7347376716396,396.396680507481,371.15784480017305,0.2877540136196842,1.7338374530891456,0.11102441425083287,0.0977971124911821,0.116
4,2,SG,360.800725721654,4320,8,361.7347376716396,396.396680507481,371.15784480017305,0.2884360754119725,0.7187179434589734,0.4475942452433437,0.03232611299274333,18.999999999999996
1,2,AS,379.8252065192774,20160,9,392.529931752245,382.56764757365767,382.2012927182211,0.28585059005948793,1.1673334706305198,0.2991188847109769,0.0665955502540833,
1,2,DB,379.8252065192774,20160,9,392.529931752245,382.56764757365767,382.2012927182211,0.27254107411684025,1.66261423937554,0.15191550130990425,0.09400542458895082,0.21428570000000002
1,2,VS,379.8252065192774,20160,9,392.529931752245,382.56764757365767,382.2012927182211,0.29441647848093266,2.1368460119024375,0.006737946999085468,0.11520255610030443,0.116
1,2,SG,379.8252065192774,20160,9,392.529931752245,382.56764757365767,382.2012927182211,0.2832301681230974,1.80387662882536,0.10766383565752109,0.09765129572371713,18.999999999999996
2,2,AS,383.5900306936543,23040,10,390.7389515747668,378.9890475425598,384.9975341054321,0.2967333576371359,0.6120356659152141,0.4874345664825035,0.03043830762085519,
2,2,DB,383.5900306936543,23040,10,390.7389515747668,378.9890475425598,384.9975341054321,0.28893973974649895,0.587515388546187,0.5020104904259731,0.029056118018608093,0.21428570000000002
2,2,VS,383.5900306936543,23040,10,390.7389515747668,378.9890475425598,384.9975341054321,0.27899543517683734,0.6440474027049352,0.46503252941227613,0.03248590715317679,0.116
2,2,SG,383.5900306936543,23040,10,390.7389515747668,378.9890475425598,384.9975341054321,0.29660722011701823,0.7261461523736528,0.44767175129223086,0.0395302012254961,18.999999999999996
3,2,AS,377.7445856214674,29280,11,381.9307602290094,387.27213003483376,377.8123376836271,0.328278618413817,0.8212883493098508,0.39955682228629574,0.04901104486984925,
3,2,DB,377.7445856214674,29280,11,381.9307602290094,387.27213003483376,377.8123376836271,0.32653972003381126,0.8348308101976762,0.3936484795176508,0.05080688973956157,0.21428570000000002
3,2,VS,377.7445856214674,29280,11,381.9307602290094,387.27213003483376,377.8123376836271,0.2620077873898763,0.985622016194232,0.32077894939254104,0.05752229459587056,0.116
3,2,SG,377.7445856214674,29280,11,381.9307602290094,387.27213003483376,377.8123376836271,0.30899623387104713,0.8031531617968046,0.40499096535761314,0.04762598387923344,15.696749944429863
2,4,AS,397.0120860984291,10560,12,402.3815409638737,406.2540088604275,397.33322801480136,0.2831180893281361,1.3200628667831018,0.20660580283785096,0.07355469890433977,
2,4,DB,397.0120860984291,10560,12,402.3815409638737,406.2540088604275,397.33322801480136,0.26221889830694645,1.3059949261034733,0.20866547362271431,0.07300953938243568,0.21428570000000002
2,4,VS,397.0120860984291,10560,12,402.3815409638737,406.2540088604275,397.33322801480136,0.21431571733428126,1.9607482847894326,0.006737946999085468,0.11129302290246161,0.116
2,4,SG,397.0120860984291,10560,12,402.3815409638737,406.2540088604275,397.33322801480136,0.241373581991302,0.8923955592000699,0.3396571121921788,0.054899651142342895,18.999999999999996
1,4,AS,385.0577348250586,12960,13,396.2832868085833,422.0134525188077,407.479901150116,0.26086205495555037,0.8132041787721732,0.4417402046001292,0.0419067365785986,
