Unnamed: 0,agent,group,fit_AS,fit_DB,fit_VS,fit_SG,r2_AS,r2_DB,r2_VS,r2_SG,id,model,lambda,beta,tau,par
13800,1,7,398.7164584665293,401.008989083968,398.2749042325728,409.2479610816993,0.15926423003941068,0.04273807603036968,0.1443477060150844,0.12405512988611615,22,VS,1.907255784467731,0.006737946999085468,0.10030869074629774,0.116
16680,2,7,396.8066480457204,400.707304375738,412.2973626671525,409.1656225247712,0.15394765403648905,0.15825081692544263,0.1663705263483306,0.15733162604506779,23,AS,0.8148109543494676,0.3059677969345155,0.0507670708493315,
5400,2,8,395.4533516614748,401.50552009530657,398.41901413838,395.5189299494685,0.17518997590131472,0.1666046908664145,0.17394559018622488,0.1637790885828353,24,AS,0.6976743459594005,0.45061521270170707,0.0445947571037645,
9360,4,8,421.64321677892576,425.3020658507031,428.3153870112334,424.3895416650564,0.2637640315173292,0.25249639635990395,0.2582427042186642,0.26364194102506316,25,AS,0.6847266477928692,0.4035208732825002,0.044828378706657214,
17520,3,8,383.7483194713735,390.9615264958158,392.1455688954212,386.2435963833629,0.28555589565097084,0.27212669486864327,0.26992230186214716,0.2809103094997536,26,AS,0.8536936780193212,0.389874893076102,0.05397103154724072,
17760,1,8,417.13057226421904,421.2963276884984,418.262680575522,423.45521183124265,0.21500500436996733,0.20819313571700448,0.20258307978082024,0.2098920292142039,27,AS,0.8580006287063171,0.3842008019995207,0.05522915350893606,
480,2,9,459.7597343122108,460.2305473408107,465.9761374351212,463.7441436599622,0.2257368530342011,0.23545852977937248,0.2349533570264321,0.2374280937591069,28,AS,0.6981425499147628,0.4329700465287778,0.04941242504341485,
4440,1,9,411.5889312971101,406.4463130820539,406.88812630199584,405.55773070465256,0.1440415112464401,0.14316497426773184,0.13246811186963453,0.13662353018078888,29,SG,1.3993346383186438,0.15311071607085333,0.08407809609495877,18.81374249708913
14280,3,9,435.2595140136667,437.7219481392757,433.6243100523704,434.8669616992403,0.18965483919966653,0.18507039816338358,0.19269918303201378,0.1903856741570074,30,VS,1.0898196285297186,0.32747205784947964,0.06749977069219024,0.116
15000,4,9,446.3837874883434,453.0017289069688,427.2693519735228,452.768524882687,0.1689442036193016,0.15662323961878855,0.2045305373401507,0.15705740761850295,31,VS,1.8848309445508107,0.006737946999085468,0.11766660004971125,0.116
360,2,10,446.07223828135056,432.44112006426354,428.6932383345641,426.717216679687,0.322222492370926,0.3360814359098524,0.31912588424231103,0.33273452872637377,32,SG,1.972915563626795,0.006737946999085468,0.11933230219038897,6.588540637480456
4080,4,10,446.6995167110677,449.8494484312346,447.2760676807069,451.47239829586977,0.16082692567908796,0.1868672554897564,0.19387753520451978,0.19758081266660485,33,AS,1.0871166265145467,0.3504207901994985,0.06882332685350338,
9120,1,10,360.1360494328139,352.65982933440915,361.8083144978186,354.71338072117595,0.23396950510683445,0.23586867254021873,0.2668442812057566,0.2184016998617981,34,DB,1.2086874916886623,0.19021121223399123,0.06884694142360945,0.21428570000000002
10080,3,10,411.4568421653128,410.4367451325015,393.7988616400849,419.81875468481456,0.16835639418718013,0.16249200330287505,0.16728299941197197,0.15947047355639996,35,VS,1.8799260603477026,0.006737946999085468,0.09750677675555247,0.1173362991013174
2640,1,11,406.7693078423295,413.059745274884,404.3029408486385,397.8976018317444,0.2285775155418355,0.21660369251890293,0.23210345378021513,0.24421031561189138,36,SG,0.9308096119277167,0.28370544672857345,0.06250462569606148,18.999999999999996
4200,2,11,390.20095087058695,392.52466879489305,391.1997439506324,392.2063756495916,0.2735426978679655,0.2692165119618549,0.2716831931058701,0.2698090947813147,37,AS,0.9043115006099148,0.40531496366838915,0.051715970258015415,
4680,4,11,379.2338268342163,381.66350765494354,379.1551457541219,385.37555151777775,0.20562490381311993,0.18569758495847957,0.2009271985598588,0.21341011217365582,38,VS,0.737845253280111,0.43428457186961356,0.041667500034366214,0.116
18000,3,11,426.6815365064606,437.3850682110243,429.2048080756946,422.4998788975532,0.2939607602069564,0.2894372976932711,0.29410724484531175,0.2825263935451039,39,SG,1.2633797008179932,0.22113116793503626,0.08698812630964842,18.999999999999996
840,4,12,393.83073191380345,396.8406907492745,401.7910482894183,394.9597682442084,1.0,1.0,1.0,1.0,40,AS,0.7946709908350085,0.4419949449253214,0.051381546635849026,
2160,3,12,389.3534608638466,391.421043851453,405.0749821302429,397.2002145721196,0.1960447532995989,0.19389364666337544,0.19490815901582334,0.1859915251004579,41,AS,0.9296601876357133,0.3595213276570158,0.05597456749934128,
6120,2,12,431.8273087753721,432.982729544652,432.4378060048468,437.2271845713907,0.2751205138689434,0.27127118762881136,0.2458509441789773,0.2605118064409161,42,AS,1.5296480968218018,0.204556323160945,0.11572296632428947,
12240,1,12,0.0,0.0,0.0,0.0,0.2667849466679701,0.2611811505463404,0.2519648137455762,0.26468296130692714,43,AS,3.9965890163588225,3.1177619646362036,0.18308266747609425,
3720,1,13,380.0742113898419,384.88892468794126,401.8648976703131,381.4361332810004,0.28454155956244065,0.2755239852914644,0.2438792096610578,0.282152385899208,44,AS,0.853258198278878,0.4054590653668387,0.04793690661791984,
6960,3,13,335.064718474736,339.39690016941967,333.8514204704101,332.37450520184353,0.1731788458801611,0.1691478433187028,0.1695167008530021,0.1552384911243782,45,SG,1.4000096019823471,0.006798023219479614,0.06718531811836644,9.546115848332065
9240,4,13,405.038015058102,408.6217593355456,428.61053906054656,417.22535259530486,0.3761926748776294,0.3681272280373693,0.37845153455733604,0.3812011841393955,46,AS,0.6217078067631658,0.4434017513697859,0.03528279629551616,
