agent,group,model,fit_SG,fit_VS,id,fit_DB,fit_AS,Unnamed: 0,r2,lambda,beta,tau,par
2,2,DB,360.61741800564624,364.0193584516811,10,366.3167800320349,362.7528861798447,23040,0.28026456567174296,0.951103361453438,0.4237897905603791,0.04429842168358204,0.21428570000000002
2,2,VS,360.61741800564624,364.0193584516811,10,366.3167800320349,362.7528861798447,23040,0.2705740318639922,0.9622260605900499,0.4185275862075514,0.044629936104790525,0.116
2,2,SG,360.61741800564624,364.0193584516811,10,366.3167800320349,362.7528861798447,23040,0.29727670290445585,0.9312621869470895,0.43046766042848716,0.041942022113410846,15.005830139924992
3,2,AS,377.45273937071465,391.7955061103345,11,386.59044382363095,383.197944461909,29280,0.24385737945150998,0.8633621340043384,0.4072525988279327,0.04706975279875308,
3,2,DB,377.45273937071465,391.7955061103345,11,386.59044382363095,383.197944461909,29280,0.2379639154890879,0.877778737749041,0.4006755008585249,0.048898978054802894,0.21428570000000002
3,2,VS,377.45273937071465,391.7955061103345,11,386.59044382363095,383.197944461909,29280,0.20105346724465328,0.8624603012779365,0.4054647394249651,0.050500821371060496,0.116
3,2,SG,377.45273937071465,391.7955061103345,11,386.59044382363095,383.197944461909,29280,0.2311346140530275,0.8471806401369187,0.4011106308428803,0.045045891326175945,7.367973403782262
2,4,AS,431.687410496337,407.2350533946534,12,446.3495175428797,449.2061868174588,10560,0.28996089760955945,1.4241184716169175,0.19790726383064072,0.08509818573482382,
2,4,DB,431.687410496337,407.2350533946534,12,446.3495175428797,449.2061868174588,10560,0.2870534581060252,1.5862527165242384,0.1543953164784384,0.09517297622425411,0.21428570000000002
2,4,VS,431.687410496337,407.2350533946534,12,446.3495175428797,449.2061868174588,10560,0.27922364249703646,2.047777133163911,0.006737946999085468,0.12517538209465895,0.116
2,4,SG,431.687410496337,407.2350533946534,12,446.3495175428797,449.2061868174588,10560,0.28294418978104363,1.4031067428836443,0.1912562466051699,0.08643829212990707,18.999999999999996
1,4,AS,385.1511412350876,387.1495533698653,13,382.9439359346736,381.382267195784,12960,0.1636895967363769,0.8595967272649689,0.4325223094486757,0.045447049585390135,
1,4,DB,385.1511412350876,387.1495533698653,13,382.9439359346736,381.382267195784,12960,0.16900800575015307,0.8592563979656207,0.42766277197274094,0.046373074760372474,0.21428570000000002
1,4,VS,385.1511412350876,387.1495533698653,13,382.9439359346736,381.382267195784,12960,0.24182942772788857,0.9161627214291994,0.3849764600217867,0.05224331119890289,0.116
1,4,SG,385.1511412350876,387.1495533698653,13,382.9439359346736,381.382267195784,12960,0.19630520916505467,0.9949830654453737,0.3596261981250528,0.05506845340374538,8.030380942689773
3,4,AS,273.95203758917944,274.2918542720889,14,273.5542620055959,275.6887188496287,18480,0.4867360459350566,2.173407959969972,0.024331046778529028,0.06237637280395739,
3,4,DB,273.95203758917944,274.2918542720889,14,273.5542620055959,275.6887188496287,18480,0.49070987469424776,2.2486861457939264,0.021734332983341625,0.06155277169258229,0.21428570000000002
3,4,VS,273.95203758917944,274.2918542720889,14,273.5542620055959,275.6887188496287,18480,0.4893366610032137,2.2000730717422585,0.01907058455996858,0.06414077390681298,0.116
3,4,SG,273.95203758917944,274.2918542720889,14,273.5542620055959,275.6887188496287,18480,0.4899693153064262,2.1711697204209823,0.023232083908786956,0.06143620047053805,12.172185113848615
4,4,AS,394.5794651850232,405.4809130366125,15,392.7130843758224,391.8796060801516,22080,0.27041745859822663,0.8939785005349878,0.38995259374798,0.05410500423734317,
4,4,DB,394.5794651850232,405.4809130366125,15,392.7130843758224,391.8796060801516,22080,0.2688657289248168,0.8876127510378513,0.3892068038715921,0.05470114368313068,0.21428570000000002
4,4,VS,394.5794651850232,405.4809130366125,15,392.7130843758224,391.8796060801516,22080,0.24509520160470838,0.9509944670666844,0.34264355998413726,0.06520565223711666,0.116
4,4,SG,394.5794651850232,405.4809130366125,15,392.7130843758224,391.8796060801516,22080,0.26539099119191784,1.406244934229539,0.23730542656817338,0.07607397719854503,4.218881451476064
4,6,AS,380.5098459487272,395.0957239122007,16,382.5767412034861,382.0185344450019,480,0.22290127386472697,0.7238952596641132,0.47261173917783117,0.04517558323741932,
4,6,DB,380.5098459487272,395.0957239122007,16,382.5767412034861,382.0185344450019,480,0.22955441761975962,0.7217132607219219,0.4698084566940744,0.04546604909543697,0.21428570000000002
4,6,VS,380.5098459487272,395.0957239122007,16,382.5767412034861,382.0185344450019,480,0.2335852146218385,1.2609206952410397,0.24146362201647942,0.08035706937057728,0.14172186887184096
4,6,SG,380.5098459487272,395.0957239122007,16,382.5767412034861,382.0185344450019,480,0.2285961396913554,0.7237362165062258,0.42938147818177863,0.045483865135002535,9.013491808625686
1,6,AS,410.5671990875016,407.8750645088156,17,410.0034593283818,413.606247246527,5040,0.2735990456674675,0.9420409292132499,0.38447846736077745,0.05025990339256452,
1,6,DB,410.5671990875016,407.8750645088156,17,410.0034593283818,413.606247246527,5040,0.26967928103085886,0.7533089233616718,0.44342542866183027,0.042061569798017666,0.21428570000000002
1,6,VS,410.5671990875016,407.8750645088156,17,410.0034593283818,413.606247246527,5040,0.22531239972988004,2.2028983915171536,0.006737946999085468,0.13016784781788854,0.116
1,6,SG,410.5671990875016,407.8750645088156,17,410.0034593283818,413.606247246527,5040,0.24557236521651998,2.1165997992859817,0.06676439405371494,0.1175004415338793,6.9342595632819135
3,6,AS,441.170851783,433.1371838699756,18,424.2038584783247,434.0894695389557,5520,0.19183317154503016,0.7402007342445244,0.443785651404914,0.04576834445347122,
3,6,DB,441.170851783,433.1371838699756,18,424.2038584783247,434.0894695389557,5520,0.21023772521156994,0.7559942132233168,0.44964888549758614,0.04445313185763892,0.21428570000000002
3,6,VS,441.170851783,433.1371838699756,18,424.2038584783247,434.0894695389557,5520,0.19360609105330617,1.0182808768761984,0.3170840291910547,0.07049764561557806,0.11899674666752975
3,6,SG,441.170851783,433.1371838699756,18,424.2038584783247,434.0894695389557,5520,0.17864939577796335,1.2345494858012505,0.27180845850782026,0.08549472570287403,10.053466188696014
2,6,AS,405.2246148419307,416.1068205466445,19,392.2761023199896,390.17068485924585,11280,0.2887763259464957,0.6294069934846084,0.4778414543522357,0.03528685346136384,
2,6,DB,405.2246148419307,416.1068205466445,19,392.2761023199896,390.17068485924585,11280,0.2877370835384607,0.64373852270698,0.47051822843239755,0.03696170891696524,0.21428570000000002
2,6,VS,405.2246148419307,416.1068205466445,19,392.2761023199896,390.17068485924585,11280,0.2644298456044694,2.0263588208930563,0.006737946999085468,0.1235356224887915,0.116
2,6,SG,405.2246148419307,416.1068205466445,19,392.2761023199896,390.17068485924585,11280,0.2915851293907622,1.5350212070565417,0.17643969571752666,0.089542015260085,13.65212768474277
3,8,AS,398.57336614156696,401.0250163860847,20,397.035725702478,398.453707129614,7440,-0.36854824248761586,1.027212099675123,0.3742784536320816,0.054084604570458925,
3,8,DB,398.57336614156696,401.0250163860847,20,397.035725702478,398.453707129614,7440,0.04412699044219741,1.026299468958461,0.376114389626392,0.05349581250253823,0.21428570000000002
3,8,VS,398.57336614156696,401.0250163860847,20,397.035725702478,398.453707129614,7440,0.20886840822331781,1.1249660409713897,0.33332894312747285,0.06179071104054189,0.116
3,8,SG,398.57336614156696,401.0250163860847,20,397.035725702478,398.453707129614,7440,0.18192074526078358,1.0060398581472745,0.37357085353031877,0.05359178555238142,17.563341326255824
2,8,AS,367.2614336241736,374.4039659776712,21,383.744273205066,375.25189782912025,8880,0.30137412349033493,1.891719494654593,0.06018536629282825,0.0916821006753718,
2,8,DB,367.2614336241736,374.4039659776712,21,383.744273205066,375.25189782912025,8880,0.2855634287943393,1.7138913779041198,0.1108962176920881,0.08449193982282933,0.21428570000000002
2,8,VS,367.2614336241736,374.4039659776712,21,383.744273205066,375.25189782912025,8880,0.30295276209647143,2.0946114131678057,0.006737946999085468,0.10598572154570243,0.116
2,8,SG,367.2614336241736,374.4039659776712,21,383.744273205066,375.25189782912025,8880,0.31625038418666873,2.3207420425799823,0.007365903388610422,0.09975673869064901,2.4462031294515616
