agent,group,model,r2_SG,id,r2_DB,Unnamed: 0,r2_VS,r2_AS,fit,lambda,beta,tau,par
1,2,DB,0.291666016377953,8,0.28618488211998566,1440,0.2678403389985383,0.29330997063005537,376.0950021411397,1.0612954989562293,0.4100340119470269,0.043872796176029946,0.21428570000000002
1,2,VS,0.291666016377953,8,0.28618488211998566,1440,0.2678403389985383,0.29330997063005537,385.7835092805523,1.112382081615187,0.35421015820736995,0.04993051242515466,0.116
1,2,SG,0.291666016377953,8,0.28618488211998566,1440,0.2678403389985383,0.29330997063005537,373.20333500288586,1.0761960872005458,0.397556089124519,0.04295585809699488,18.999999999999996
2,2,AS,0.214180636048571,9,-0.08557310816543236,1800,0.21636129089307576,0.10946743477732061,478.3304575661852,1.2387648995470075,0.25609023088282673,0.06026515629917383,
2,2,DB,0.214180636048571,9,-0.08557310816543236,1800,0.21636129089307576,0.10946743477732061,583.0922998537111,1.442415395423961,0.19240196427231873,0.07269675414949284,0.21428570000000002
2,2,VS,0.214180636048571,9,-0.08557310816543236,1800,0.21636129089307576,0.10946743477732061,420.9147165774457,2.090783997470965,0.006737946999085468,0.11520975174068784,0.116
2,2,SG,0.214180636048571,9,-0.08557310816543236,1800,0.21636129089307576,0.10946743477732061,422.0860085327321,2.104830212121975,0.006737946999085468,0.11391832234707427,18.999999999999996
3,2,AS,0.2209348664723873,10,0.21610651963760263,11400,0.21448865064745898,0.21925174660072191,415.2403891648473,1.0027158675840002,0.3583099305722701,0.06289918676635306,
3,2,DB,0.2209348664723873,10,0.21610651963760263,11400,0.21448865064745898,0.21925174660072191,416.9028822211459,1.0013411587243466,0.3665601964879307,0.06374237873124497,0.21428570000000002
3,2,VS,0.2209348664723873,10,0.21610651963760263,11400,0.21448865064745898,0.21925174660072191,417.73733074206456,1.060885755374392,0.30912282139610764,0.06734142588419989,0.116
3,2,SG,0.2209348664723873,10,0.21610651963760263,11400,0.21448865064745898,0.21925174660072191,414.3307732467913,1.0163581875838363,0.3471862701955946,0.06327192888889933,18.744403557027706
4,2,AS,0.20321903912629516,11,0.19962758241982992,17880,0.21468319641624367,-1.1557883204245885,1157.935435484813,1.3693896291333965,0.06961503632566217,0.09123108488992072,
4,2,DB,0.20321903912629516,11,0.19962758241982992,17880,0.21468319641624367,-1.1557883204245885,429.90286899698725,1.541130202094752,0.006737946999085468,0.10678426029286486,0.21428570000000002
4,2,VS,0.20321903912629516,11,0.19962758241982992,17880,0.21468319641624367,-1.1557883204245885,421.8160690156259,1.526354926942266,0.006737946999085468,0.10048929103775238,0.2827035569632634
4,2,SG,0.20321903912629516,11,0.19962758241982992,17880,0.21468319641624367,-1.1557883204245885,427.97379509579525,1.4361188868823216,0.006737946999085468,0.10148585809750495,6.1793137176089985
3,3,AS,0.21676514370910555,12,0.19590715461235797,960,0.19321057089124916,0.20304340268890964,383.1197705701133,0.7793602857234732,0.4394934996079928,0.04866974524630038,
3,3,DB,0.21676514370910555,12,0.19590715461235797,960,0.19321057089124916,0.20304340268890964,384.9770118619675,0.7638062282941586,0.4431078147510146,0.04914842984679173,0.21428570000000002
3,3,VS,0.21676514370910555,12,0.19590715461235797,960,0.19321057089124916,0.20304340268890964,386.75526694586347,0.8439024728927499,0.37802392225062026,0.05281805419498046,0.116
3,3,SG,0.21676514370910555,12,0.19590715461235797,960,0.19321057089124916,0.20304340268890964,383.7157519532728,0.7598711889030485,0.4353777010206315,0.04757634751277644,18.735363473029267
1,3,AS,0.09545018245858226,13,0.07748769122838597,8400,0.09533004397607098,0.08670997175113355,403.7292251662407,0.8088333584770324,0.4260564751486129,0.04610909421083182,
1,3,DB,0.09545018245858226,13,0.07748769122838597,8400,0.09533004397607098,0.08670997175113355,407.2524571008753,0.8171743826727764,0.4225022158871014,0.04802463458385913,0.21428570000000002
1,3,VS,0.09545018245858226,13,0.07748769122838597,8400,0.09533004397607098,0.08670997175113355,409.4439726078157,0.9109354657639916,0.3523535707069896,0.05462548262945648,0.116
1,3,SG,0.09545018245858226,13,0.07748769122838597,8400,0.09533004397607098,0.08670997175113355,397.2881026555009,0.8285598258126365,0.3919558876741984,0.0459104642208957,8.032517857428259
