agent,group,model,r2_SG,r2_AS,id,r2_VS,Unnamed: 0,r2_DB,fit,lambda,beta,tau,par
2,0,SG,0.4847145631152634,0.483038487601192,2,0.3674494318262793,20400,0.4791140512812885,295.9536491801186,0.8690544025250277,0.010514502436092803,0.07477140942956245,3.936324380621181
3,0,AS,0.44402121583759036,0.4044090677410344,3,0.3418668928588451,21360,0.4099262635436365,277.6747829631547,1.136181283940233,0.0436253956584956,0.06676303044221216,
3,0,DB,0.44402121583759036,0.4044090677410344,3,0.3418668928588451,21360,0.4099262635436365,279.7827097183312,1.1406282758898958,0.043944768685236446,0.06742709885620218,0.21428570000000002
3,0,VS,0.44402121583759036,0.4044090677410344,3,0.3418668928588451,21360,0.4099262635436365,339.7609638594501,1.054004842759696,0.006737946999085468,0.10827408008390604,0.116
3,0,SG,0.44402121583759036,0.4044090677410344,3,0.3418668928588451,21360,0.4099262635436365,276.77451496749666,1.117320909623079,0.03733758699739059,0.06642841506086294,14.994586441718122
3,1,AS,0.24160851168041375,0.23257643897272098,4,0.22593233224104736,6000,0.2268595569015847,402.467535465686,1.0073935313489053,0.36004833036392436,0.0539811612899776,
3,1,DB,0.24160851168041375,0.23257643897272098,4,0.22593233224104736,6000,0.2268595569015847,403.60980861342927,1.030199605067573,0.35879043741660277,0.05329589481536322,0.21428570000000002
3,1,VS,0.24160851168041375,0.23257643897272098,4,0.22593233224104736,6000,0.2268595569015847,404.2606091290875,1.0156065870584499,0.350852293630564,0.056240249390236474,0.116
3,1,SG,0.24160851168041375,0.23257643897272098,4,0.22593233224104736,6000,0.2268595569015847,402.1372143339784,0.9996093384518736,0.35571014223836334,0.05361942067691659,16.003427709506326
4,1,AS,0.27588061058847313,0.27150615386710253,5,0.254201035254473,24480,0.266524313849105,378.04338065836936,0.9488144732875872,0.3784065312915426,0.05400962000668097,
4,1,DB,0.27588061058847313,0.27150615386710253,5,0.254201035254473,24480,0.266524313849105,378.514256385994,0.9173816854329115,0.38289387481463183,0.05423934790092893,0.21501803399196553
4,1,VS,0.27588061058847313,0.27150615386710253,5,0.254201035254473,24480,0.266524313849105,378.2847968502921,1.0169674469736458,0.3459603780444418,0.055926411804672366,0.116
4,1,SG,0.27588061058847313,0.27150615386710253,5,0.254201035254473,24480,0.266524313849105,378.336031688348,0.9144237709535388,0.3808896584579697,0.05332212156043595,18.46701826802404
2,1,AS,0.2513203385072156,0.2507053625630459,6,0.247367104536938,25680,0.24857873353419302,391.2948367786704,0.940932463717709,0.3725066199239358,0.054126873235866575,
2,1,DB,0.2513203385072156,0.2507053625630459,6,0.247367104536938,25680,0.24857873353419302,393.9707252395649,0.9718950736289454,0.3607800760778929,0.05499416962750477,0.21428570000000002
2,1,VS,0.2513203385072156,0.2507053625630459,6,0.247367104536938,25680,0.24857873353419302,400.5899098927528,1.0515311682749355,0.3167658726638899,0.05846616775089211,0.116
2,1,SG,0.2513203385072156,0.2507053625630459,6,0.247367104536938,25680,0.24857873353419302,388.9451912217856,0.8783702956257193,0.37743306305115903,0.05275882449565132,11.284836943024185
1,1,AS,0.2956322318886105,0.2961770754550604,7,0.2957276184378905,27120,0.2953004217463331,377.8238838417968,0.7166913768449109,0.4869785223476153,0.039947164960063106,
1,1,DB,0.2956322318886105,0.2961770754550604,7,0.2957276184378905,27120,0.2953004217463331,379.70904199735816,0.7417278446159357,0.47330045223929684,0.04168088179075445,0.21428570000000002
1,1,VS,0.2956322318886105,0.2961770754550604,7,0.2957276184378905,27120,0.2953004217463331,382.0623990438443,0.7456402282793647,0.4417396765055071,0.04392689435240816,0.116
