agent,group,model,fit_SG,fit_VS,id,fit_DB,fit_AS,Unnamed: 0,r2,lambda,beta,tau,par
1,9,DB,327.3205037816987,328.6364672071222,16,323.8544752324408,325.1730870530152,480,0.3970633648230842,1.9635408052068803,0.006737946999085468,0.055938443666983736,0.21428570000000002
1,9,VS,327.3205037816987,328.6364672071222,16,323.8544752324408,325.1730870530152,480,0.3881604829080264,1.9202690917356433,0.006737946999085468,0.058760229893342966,0.116
1,9,SG,327.3205037816987,328.6364672071222,16,323.8544752324408,325.1730870530152,480,0.3906104801148621,1.9643705361249393,0.006964402602106861,0.05634584625574727,18.981106984958373
2,9,AS,388.5429906255654,403.7106789835223,17,390.0022264980767,396.3250690991478,4320,0.2621411100544764,1.0158200421237387,0.33036842390870247,0.04020895986102904,
2,9,DB,388.5429906255654,403.7106789835223,17,390.0022264980767,396.3250690991478,4320,0.27391267331574326,0.9837483185567739,0.36022784323121154,0.037076714145272416,0.216364608790538
2,9,VS,388.5429906255654,403.7106789835223,17,390.0022264980767,396.3250690991478,4320,0.24839093794640826,1.0564962148406378,0.2970352072485993,0.044613444174966266,0.116
2,9,SG,388.5429906255654,403.7106789835223,17,390.0022264980767,396.3250690991478,4320,0.2766294082513034,1.0176580081787125,0.314980266847539,0.0401126560871247,6.170342877891139
3,9,AS,369.7897717293939,380.3542360579237,18,374.3566364265829,370.709987139185,8160,0.3098300336539914,1.0653639599480427,0.3785813379897121,0.033639919161416,
3,9,DB,369.7897717293939,380.3542360579237,18,374.3566364265829,370.709987139185,8160,0.3030408779709151,1.058585926098883,0.3803952782763536,0.03424939014921603,0.21428570000000002
3,9,VS,369.7897717293939,380.3542360579237,18,374.3566364265829,370.709987139185,8160,0.29187483637688283,1.1134347648043397,0.32752869551341535,0.042857916264190304,0.116
3,9,SG,369.7897717293939,380.3542360579237,18,374.3566364265829,370.709987139185,8160,0.31154324630118174,1.0450928922617932,0.37210299322324525,0.03390418218594221,18.999999999999996
4,9,AS,384.6995685939852,403.09905511166426,19,396.01610745138913,386.1122330157791,12000,0.28115487547890095,0.7484404803791775,0.8518609145211361,0.03064036455252743,
4,9,DB,384.6995685939852,403.09905511166426,19,396.01610745138913,386.1122330157791,12000,0.2627163199420799,0.6864800328913545,5.3583205470398365,0.0270291665566152,0.21428570000000002
4,9,VS,384.6995685939852,403.09905511166426,19,396.01610745138913,386.1122330157791,12000,0.2495296297586098,0.8833312156489688,0.3721857788106129,0.04390455843002416,0.116
4,9,SG,384.6995685939852,403.09905511166426,19,396.01610745138913,386.1122330157791,12000,0.2837849059347074,0.7881557189595502,0.4385636120570961,0.03423063960792616,18.999999999999996
1,10,AS,315.1925299875662,347.20839434584184,20,322.62839600280154,319.0174682757504,600,0.406068670977032,0.6133665992660082,0.48093973336238033,0.01857207423928405,
1,10,DB,315.1925299875662,347.20839434584184,20,322.62839600280154,319.0174682757504,600,0.3993460199713522,0.6351652590429071,0.47076763399329746,0.019616014280784064,0.21428570000000002
1,10,VS,315.1925299875662,347.20839434584184,20,322.62839600280154,319.0174682757504,600,0.35358416510437873,0.8316667948537761,0.3749404382459882,0.032172696827403556,0.12025710848475384
1,10,SG,315.1925299875662,347.20839434584184,20,322.62839600280154,319.0174682757504,600,0.4131897565188696,0.6291297469574205,0.448325582719272,0.019717716958735292,18.179537507815844
