agent,group,model,Unnamed: 0,id,r2_DB,r2_VS,r2_SG,r2_AS,fit,lambda,beta,tau,par
2,1,VS,25680,6,0.32864371750527355,0.326980291179472,0.3318342083506111,0.33673506265321757,429.780661223932,1.1649599180575911,0.2724657644336157,0.06360968555999535,0.116
2,1,SG,25680,6,0.32864371750527355,0.326980291179472,0.3318342083506111,0.33673506265321757,395.3732385435702,0.8955664018325088,0.36783933529348833,0.04480991023447163,18.999999999999996
1,1,AS,27120,7,0.1996430360619203,0.18786130636364734,0.18781893063008834,0.1906204775670125,384.69480610508015,1.0058148662483641,0.33802667107577733,0.05406409296397706,
1,1,DB,27120,7,0.1996430360619203,0.18786130636364734,0.18781893063008834,0.1906204775670125,396.2188548260133,1.2072850153902985,0.2879812732583042,0.06269118974404517,0.21428570000000002
1,1,VS,27120,7,0.1996430360619203,0.18786130636364734,0.18781893063008834,0.1906204775670125,387.10367659048114,1.2948399468738852,0.2475255553339188,0.06645822419952573,0.116
1,1,SG,27120,7,0.1996430360619203,0.18786130636364734,0.18781893063008834,0.1906204775670125,384.9828233192996,1.124325730441475,0.3077859653877664,0.060405062938343995,18.999999999999996
4,2,AS,4320,8,0.2692067136418081,0.2877540136196842,0.2884360754119725,0.2928597580448994,360.800725721654,0.527957514228315,0.45989910237260107,0.015990678810186502,
4,2,DB,4320,8,0.2692067136418081,0.2877540136196842,0.2884360754119725,0.2928597580448994,361.7347376716396,0.2950556046317798,0.5262949228166315,0.0005664242177107298,0.21428570000000002
4,2,VS,4320,8,0.2692067136418081,0.2877540136196842,0.2884360754119725,0.2928597580448994,396.396680507481,1.7338374530891456,0.11102441425083287,0.0977971124911821,0.116
4,2,SG,4320,8,0.2692067136418081,0.2877540136196842,0.2884360754119725,0.2928597580448994,371.15784480017305,0.7187179434589734,0.4475942452433437,0.03232611299274333,18.999999999999996
1,2,AS,20160,9,0.27254107411684025,0.29441647848093266,0.2832301681230974,0.28585059005948793,379.8252065192774,1.1673334706305198,0.2991188847109769,0.0665955502540833,
1,2,DB,20160,9,0.27254107411684025,0.29441647848093266,0.2832301681230974,0.28585059005948793,392.529931752245,1.66261423937554,0.15191550130990425,0.09400542458895082,0.21428570000000002
1,2,VS,20160,9,0.27254107411684025,0.29441647848093266,0.2832301681230974,0.28585059005948793,382.56764757365767,2.1368460119024375,0.006737946999085468,0.11520255610030443,0.116
1,2,SG,20160,9,0.27254107411684025,0.29441647848093266,0.2832301681230974,0.28585059005948793,382.2012927182211,1.80387662882536,0.10766383565752109,0.09765129572371713,18.999999999999996
2,2,AS,23040,10,0.28893973974649895,0.27899543517683734,0.29660722011701823,0.2967333576371359,383.5900306936543,0.6120356659152141,0.4874345664825035,0.03043830762085519,
2,2,DB,23040,10,0.28893973974649895,0.27899543517683734,0.29660722011701823,0.2967333576371359,390.7389515747668,0.587515388546187,0.5020104904259731,0.029056118018608093,0.21428570000000002
