Unnamed: 0,agent,group,model,AS_fit,DB_fit,VS_fit,SG_fit,lambda,beta,tau,gamma,alpha,eps_soc,lambda_fit,beta_fit,tau_fit,par_fit
6735,1.0,14.0,DB,55.74277640399186,54.26688488073358,59.866996018531374,55.75667487620364,0.695489771488286,0.9505027900114836,0.0227475480277159,0.2142857,0.0,0.0,0.8089921375315697,0.5399572742284191,0.03435038918508672,0.2236951377157334
6750,2.0,14.0,VS,54.72336943410143,54.5455680670696,54.44032415680768,54.68510644410705,1.6248047511032238,0.0067379469990854,0.108261702710208,0.0,0.116,0.0,1.864737635545307,0.021277393139015055,0.10354195289042353,0.116
6765,3.0,14.0,VS,47.510324910488,47.859688700668855,45.759239724398256,47.27998539653889,1.702791770078706,0.0997342048245889,0.0672001008748921,0.0,0.116,0.0,1.5220761766268653,0.08187340546916896,0.0663487103190736,0.1192230480173859
7200,0.0,15.0,AS,43.32498752250424,42.82501164695631,53.15419798655978,43.36054634309408,0.8269601362629694,0.40397177585081,0.0264939671845762,0.0,0.0,0.0,0.7771839394118643,0.8585303158669205,0.021388903711416683,
7215,1.0,15.0,SG,54.39463695047162,54.549813552969695,54.85065719309189,53.752949487391454,1.1132301251527343,0.2128044829155779,0.0611761907015595,0.0,0.0,17.632619440278244,1.269233964414867,0.16668332427047783,0.06805032037559208,6.1617865581415625
7230,2.0,15.0,SG,53.13771892993218,53.42227568286904,54.49387890768385,53.22762306473329,1.227031554349826,0.203526305372902,0.0587524942004397,0.0,0.0,19.0,1.332621670765498,0.1673087495393508,0.06657127582279457,18.999999999999996
7245,3.0,15.0,SG,33.97606684566066,34.82062302845416,38.15729340479593,31.16693961397931,1.2163195864825065,0.1912443883472731,0.0288285377903366,0.0,0.0,6.550213462532684,1.3760666770413166,0.17399232609989357,0.027350894802947903,5.422983900744951
7680,0.0,16.0,DB,49.48975009765407,48.752380179470016,50.11286476783653,50.165295248947714,1.9635408052068803,0.0067379469990854,0.0559384436669837,0.2142857,0.0,0.0,1.8808061672001362,0.06391647935082734,0.052098329990331226,0.2158408965411721
7695,1.0,16.0,AS,52.77344390474708,53.309411423256975,56.687946019127615,53.33219781231963,0.7749503670772302,0.3503552603914615,0.0334789902155883,0.0,0.0,0.0,0.73756490280557,0.40277595919185194,0.029690418298470512,
7710,2.0,16.0,AS,56.61237427509165,56.88963101827822,56.45243858739444,56.691152522510805,1.76369921949694,0.0433750886413888,0.1064994987910652,0.0,0.0,0.0,1.3619989836426214,0.17528162906529063,0.0758567015292814,
7725,3.0,16.0,AS,54.123778644615626,54.369836483998455,54.610401387045954,54.29100081755018,1.81760740899748,0.090457694629382,0.0956270509868244,0.0,0.0,0.0,1.6432902261745022,0.10813962792158469,0.08578518735500669,
8160,0.0,17.0,DB,42.82640921481403,39.60516580114644,45.09154481239276,42.59515577124947,0.7811643020723147,0.3964338453620645,0.024744139514769,0.2152437478255993,0.0,0.0,0.8352333648638524,0.4034249799841475,0.024105347622172573,0.2228626819646847
8175,1.0,17.0,DB,56.54219257882721,56.102022242065445,57.9051711687151,56.716393328475824,0.7023135760692506,0.4632892376485645,0.0374858472520924,0.2142857,0.0,0.0,0.6075209062604913,0.5023951031077191,0.029746009092238915,0.21521714566198194
8190,2.0,17.0,DB,54.5976380466397,53.37894422097186,54.41803306308696,54.406434772118985,2.168928931192458,0.0559568463056246,0.103186482720004,0.2142857,0.0,0.0,1.9132412790818698,0.09575592645770266,0.09124925095090224,0.32378054044264737
8205,3.0,17.0,AS,59.59150347315754,59.732391170034425,60.23734064816951,59.71314767475504,1.088037245577097,0.3531345332974833,0.0699397250153689,0.0,0.0,0.0,1.1098564704046765,0.3604503043514435,0.06884411254827141,
8640,0.0,18.0,DB,54.56288855468257,54.71538018175315,56.79721864555647,54.62968576551224,1.3353846249531267,0.1309830345924747,0.0656891615460949,0.2143174622876972,0.0,0.0,1.3725921932559633,0.13860046477377924,0.06842955919801018,0.21428570000000002
8655,1.0,18.0,AS,58.28804429918991,58.70492426012719,64.00838326808112,58.82299459396213,0.6669837975136167,0.4722192082369736,0.0407501699329228,0.0,0.0,0.0,0.597522787848205,0.5493728718980468,0.028442246027520744,
8670,2.0,18.0,VS,48.79748246445477,48.95606015454578,46.80966038916367,48.74196748174816,1.512530564807835,0.0067379469990854,0.0901207686010614,0.0,0.116,0.0,1.289643446658981,0.006737946999085468,0.08455747530171641,0.142270045537346
8685,3.0,18.0,VS,59.063330723844906,58.73036528618643,51.96363955161705,58.79386845792681,0.904576365802184,0.2472995365761118,0.0554335244659291,0.0,0.1166004280387829,0.0,0.7846550066663662,0.30883477482662913,0.04958603472006004,0.11751131744245728
9120,0.0,19.0,DB,88.89695481789178,53.09360724106568,58.82011558379946,58.419116149292265,0.3182761972773357,0.6575600867939082,0.0007856421339041,0.2142857,0.0,0.0,0.3259414635987453,0.7704724382535004,0.00140525025117665,0.35653470860951836
9135,1.0,19.0,AS,58.94222122993028,59.05961279694999,58.91775087778768,59.02944464018312,1.0829506565279283,0.3209966029686664,0.06316043209234,0.0,0.0,0.0,0.9668499628732672,0.2748640305815101,0.07095065610426944,
9150,2.0,19.0,AS,39.99180809867235,40.84075829799518,42.73755647418465,40.33742112653537,1.1142030415412136,0.3778510930020589,0.0281254275865508,0.0,0.0,0.0,1.1178215008521988,0.40129879641356986,0.024843071865037394,
